,X1,X107,X2,X108,X11,X109,X14,X110,X15,X111,X18,X112,X21,X113,X22,X114,X26,X115,X40,X116,X46,X119,X48,X120,X52,X121,X56,X122,X59,X123,X60,X124,X62,X125,X64,X126,X66,X127,X67,X128,X68,X129,X69,X130,X74,X131,X77,X132,X78,X133,X88,X134,X89,X135,X90,X136,X93,X137,X97,X138
hsa-miR-329-5p,0,0,0,0,4,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
hsa-miR-330-3p,0,2,4,6,8,4,2,2,0,0,1,0,5,0,12,0,2,0,1,2,0,0,2,0,1,3,0,2,0,3,0,5,36,0,6,0,1,5,0,0,2,0,0,0,1,10,4,0,0,0,1,1,1,0,0,5,2,0,2,0
hsa-miR-330-5p,0,0,17,4,17,1,1,2,0,0,0,0,4,0,3,1,4,0,3,0,1,0,14,1,2,0,13,0,0,0,0,1,12,0,5,2,1,5,0,0,0,0,1,0,0,19,0,0,0,0,2,0,2,0,0,0,4,6,4,0
hsa-miR-331-3p,0,4,21,17,1,2,4,2,0,0,2,0,0,1,12,1,3,0,6,2,3,0,32,2,1,0,9,2,6,2,2,1,16,0,7,4,3,1,2,0,3,0,4,0,0,10,0,0,0,12,0,4,0,0,2,11,7,9,0,0
hsa-miR-331-5p,0,0,0,5,46,0,4,10,0,2,1,0,2,0,5,1,2,2,1,1,0,0,0,3,1,1,11,0,10,0,2,0,3,0,2,0,0,0,0,5,1,0,2,0,0,2,1,0,0,30,3,0,6,4,0,13,7,1,12,0
hsa-miR-335-3p,36,2,27,53,27,6,4,40,0,0,10,0,37,6,89,3,9,0,84,9,39,9,97,3,4,12,59,9,20,5,15,30,209,24,128,46,4,23,5,57,7,10,1,14,0,13,21,0,0,25,29,3,2,8,15,27,42,8,0,15
hsa-miR-335-5p,95,25,58,40,152,12,21,53,14,0,13,9,82,4,238,4,51,6,241,19,94,6,452,9,52,6,177,14,144,8,135,32,497,63,332,45,24,56,26,67,52,29,38,47,8,66,84,17,0,70,67,29,260,8,82,21,212,11,6,7
hsa-miR-337-3p,0,2,0,0,11,0,0,1,0,0,0,0,2,0,8,1,2,0,5,1,4,0,5,1,1,0,0,0,14,0,0,1,8,0,6,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,3,2,1,0,1,0,7,0
hsa-miR-337-5p,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,1,0
hsa-miR-338-3p,4,2,127,23,67,8,7,11,7,0,2,0,18,6,47,0,12,7,12,2,9,1,67,3,5,0,58,9,55,3,49,8,59,13,52,5,10,14,6,3,26,17,18,20,0,3,6,0,0,13,11,15,14,11,23,4,23,8,11,10
hsa-miR-338-5p,0,7,0,8,26,6,2,4,12,0,1,0,8,2,1,0,1,2,0,0,2,0,6,1,2,0,5,4,10,2,0,4,12,5,3,3,3,5,2,4,2,3,8,8,0,10,3,0,0,7,1,20,38,7,3,9,5,0,0,0
hsa-miR-339-3p,89,27,221,83,314,20,31,37,13,1,6,12,50,11,177,7,17,8,163,16,56,25,278,13,30,12,130,10,122,20,93,38,233,21,244,43,25,33,25,41,41,26,21,17,42,90,55,13,0,93,38,50,34,9,30,22,92,45,68,57
hsa-miR-339-5p,0,3,3,0,10,0,0,5,1,0,2,0,6,3,9,0,2,0,6,2,5,0,18,0,6,0,14,1,13,0,7,2,20,0,21,0,3,4,0,4,4,0,0,6,0,6,0,6,0,3,9,0,3,1,5,0,5,3,1,0
hsa-miR-33a-3p,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
hsa-miR-33a-5p,6,0,0,2,1,0,0,5,6,0,3,0,7,1,12,0,6,0,18,1,6,0,5,4,8,0,8,0,16,1,2,3,28,0,17,0,1,6,1,0,2,0,2,0,0,0,3,0,1,0,3,1,8,0,0,0,16,0,1,0
hsa-miR-33b-5p,36,3,41,9,2,3,19,8,6,0,3,0,1,1,8,4,6,7,21,2,8,4,72,1,21,6,35,0,49,0,48,8,39,8,3,4,4,0,8,0,16,6,6,1,0,16,4,0,0,8,6,2,12,3,9,3,18,10,0,14
hsa-miR-340-3p,10,5,27,26,119,8,7,17,0,12,0,0,8,7,17,2,2,0,9,9,3,1,61,7,6,17,15,2,63,1,22,9,66,13,34,21,11,19,4,19,14,0,4,1,0,16,7,0,0,30,8,4,3,2,3,1,22,10,40,2
hsa-miR-340-5p,290,32,352,128,352,40,75,112,27,22,49,37,313,25,604,9,125,11,896,51,285,29,1506,15,163,41,716,40,625,52,522,90,1205,161,1185,209,82,137,74,249,190,78,89,118,88,173,159,25,139,97,172,45,158,45,186,58,380,30,37,55
hsa-miR-342-3p,248,409,519,413,280,175,115,263,59,43,38,47,130,78,289,43,122,64,171,82,66,86,789,36,158,72,306,79,712,80,490,155,363,160,180,93,97,92,105,128,146,125,157,533,38,196,56,84,69,242,77,199,146,40,186,242,246,204,123,170
hsa-miR-342-5p,89,96,153,43,46,32,24,36,5,1,9,11,17,26,52,7,42,14,46,16,9,29,111,21,21,26,24,23,140,47,99,24,41,25,24,19,12,31,17,10,22,57,27,111,13,28,5,15,44,44,10,32,55,13,56,135,25,56,24,47
hsa-miR-345-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-345-5p,338,124,797,203,332,60,92,125,51,24,24,15,79,25,131,29,64,42,163,81,44,47,687,37,143,76,227,35,629,60,260,79,390,117,104,56,54,82,71,92,135,73,103,108,80,123,72,69,9,185,43,134,172,63,131,148,121,108,146,125
hsa-miR-346,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
hsa-miR-34a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-34a-5p,0,0,0,2,8,2,0,0,2,0,0,0,2,0,2,0,3,0,2,0,0,1,0,0,0,0,0,1,9,0,0,0,0,4,1,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,8,4,7,1,4,0,0
hsa-miR-34b-5p,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,4,0
hsa-miR-34c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-34c-5p,0,0,5,4,272,3,2,2,0,2,0,1,0,1,2,2,5,2,1,1,2,3,14,2,0,1,3,1,0,1,0,8,2,0,8,5,4,4,3,2,6,0,2,0,0,1,0,6,0,0,1,3,6,1,4,3,3,0,97,1
hsa-miR-3591-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-3605-3p,16,16,149,36,35,27,8,35,14,4,3,0,20,11,23,4,13,10,17,11,11,31,77,16,24,27,34,27,49,22,27,67,47,22,27,25,14,12,8,24,2,42,16,47,0,31,4,35,0,47,7,43,38,30,12,42,23,30,7,67
hsa-miR-3605-5p,7,0,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,4,0,1,2,0,0,9,3,4,0,5,1,1,5,1,3,0,13,0,0,0,7,18,0,0,11,0,25,0,0,4,3,0,13,0,0,0,12
hsa-miR-3607-3p,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3609,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-361-3p,51,76,195,131,44,47,12,38,9,0,18,27,36,16,58,10,37,26,48,29,18,11,224,11,73,25,77,27,150,27,87,28,115,42,99,19,25,26,24,43,48,75,38,108,16,41,13,20,0,145,20,46,43,9,39,71,58,52,8,16
hsa-miR-361-5p,49,22,145,49,98,9,15,30,12,5,12,19,27,3,91,2,25,5,58,14,13,9,141,6,17,15,53,6,85,16,57,28,110,29,96,28,10,56,16,30,21,6,23,27,23,49,19,40,17,70,24,18,78,26,36,24,57,11,40,31
hsa-miR-3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3613-3p,0,2,20,2,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,2,0,0,2,1,0,1,4,1,3,2,0,2,0,1,1,9,1,7,0,0,0,0,1,0,0,0,1,0,0,16,0,0,0,0,0,1,0,5,0,0
hsa-miR-3613-5p,3,3,3,0,0,3,0,6,0,0,3,0,1,0,6,1,0,0,4,0,0,1,3,0,1,1,3,3,0,0,4,0,8,0,8,5,2,0,2,0,2,0,3,0,0,4,1,4,0,15,1,0,3,0,2,0,4,0,0,0
hsa-miR-3614-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3614-5p,0,5,17,19,0,2,0,4,0,0,0,12,0,0,0,0,0,5,3,1,0,4,0,3,0,0,0,5,1,19,0,8,2,13,0,5,0,8,1,0,0,34,0,33,0,11,0,19,11,104,0,19,1,6,0,0,1,9,0,0
hsa-miR-3615,468,297,1054,626,150,250,242,350,69,4,21,18,126,64,252,61,169,97,320,208,99,200,1503,111,222,136,637,176,776,178,475,177,579,223,197,163,126,248,115,151,140,300,228,384,3,337,52,248,28,698,64,267,400,204,150,454,185,269,5,344
